Player Names,Goals,Average Goals Per Match
Juanmi Callejon,11,0.579
Antoine Griezmann,16,0.444
Luis Suarez,28,0.824
Ruben Castro,13,0.406
Kevin Gameiro,13,0.619
Cristiano Ronaldo,25,0.862
Karim Benzema,11,0.478
Neymar ,13,0.433
Iago Aspas,19,0.760
Sergi Enrich,11,0.355
Aduriz ,16,0.593
Sandro Ramlrez,14,0.500
Lionel Messi,37,1.156
Gerard Moreno,13,0.351
Morata,15,1.071
Wissam Ben Yedder,11,0.550
Willian Jose,12,0.444
Andone ,12,0.375
Cedric Bakambu,10,0.588
Isco,10,0.556
Mohamed Salah,15,0.517
Gregoire Defrel,12,0.522
Ciro Immobile,22,0.629
Nikola Kalinic,15,0.577
Dries Mertens,28,1.000
Alejandro Gomez,16,0.432
Jose CallejOn,14,0.378
Iago Falque,12,0.387
Giovanni Simeone,12,0.414
Mauro Icardi,24,0.706
Diego Falcinelli,13,0.371
Cyril Thereau,12,0.387
Edin Dzeko,29,0.879
Lorenzo Insigne,18,0.514
Fabio Quagliarella,12,0.343
Borriello ,16,0.533
Carlos Bacca,13,0.500
Gonzalo Higuain,24,0.750
Keita Balde,16,0.762
Andrea Belotti,26,0.765
Fin Bartels,8,0.348
Lars Stindl,11,0.379
Serge Gnabry,11,0.478
Wagner ,11,0.367
Andrej Kramaric,15,0.536
Florian Niederlechner,11,0.379
Robert Lewandowski,30,0.968
Emil Forsberg,8,0.296
Timo Werner,21,0.750
Nils Petersen,10,1.429
Vedad Ibisevic,12,0.375
Mario Gomez,16,0.500
Maximilian Philipp,9,0.391
Adam Szalai,8,1.143
Pierre-Emerick Aubameyang,31,1.000
Guido Burgstaller,9,0.529
Max Kruse,15,0.652
Chicharito ,11,0.550
Anthony Modeste,25,0.735
Arjen Robben,13,0.619
Alexis Sanchez,24,0.667
Romelu Lukaku,25,0.694
Harry Kane,29,1.000
Jamie Vardy,13,0.394
Christian Benteke,15,0.417
Pedro None,10,0.385
Eden Hazard,16,0.444
Roberto Firmino,11,0.324
Sadio Mane,13,0.500
Philippe Coutinho,13,0.464
Diego Costa,20,0.571
Dele Alli,18,0.514
Sergio Aguero,21,0.840
Jermain Defoe,15,0.405
Fernando Llorente,15,0.536
Michail Antonio,11,0.379
Zlatan Ibrahimovic,17,0.630
Olivier Giroud,12,1.091
Son Heung-Min,14,0.609
Joshua King,16,0.516
Diego Souza,14,0.412
Pablo ,9,0.300
Robinho ,12,0.462
Kempes ,9,0.474
Gabriel Jesus,12,0.462
Bruno Rangel ,10,0.526
Rogerio ,9,0.409
Vitor Bueno,10,0.312
Marinho ,12,0.444
Grafite ,13,0.448
Andres Chavez,9,0.474
Cicero Semedo,9,0.257
Sassa,12,0.923
Giorgian de Arrascaeta,9,0.300
Keno ,10,0.312
Fred ,14,0.424
Kleber Gladiador,9,0.391
Pottker ,14,0.737
Jonathan Copete,10,0.455
Ricardo Oliveira,11,0.550
Angel Rodriguez,13,0.500
Antoine Griezmann,19,0.633
Iago Aspas,22,0.667
Gareth Bale,16,0.800
Rodrigo None,16,0.516
Luis Suarez,25,0.781
Sergio Leon,11,0.478
Lionel Messi,33,1.031
Maxi Gomez,18,0.514
Mikel Oyarzabal,12,0.387
Willian Josa,15,0.469
Simone Zaza,13,0.565
Cristiano Ronaldo,26,0.963
Portu ,11,0.314
Gerard Moreno,16,0.421
Cristhian Stuani,21,0.656
Carlos Bacca,15,0.500
Santi Mina,12,0.706
Morales ,10,0.286
Munir ,10,0.357
Jose Callejon,10,0.263
Sergej Milinkovic-Savic,12,0.364
Duvan Zapata,11,0.458
Paulo Dybala,22,0.846
Gonzalo Higuain,16,0.500
Mirco Antenucci,11,0.393
Fabio Quagliarella,19,0.576
Luis Alberto,11,0.344
Roberto Inglese,12,0.364
Andrea Belotti,10,0.345
Josip Ilicic,11,0.524
Giovanni Simeone,14,0.389
Ivan Perisic,11,0.297
Edin Dzeko,16,0.485
Leonardo Pavoletti,11,0.355
Ciro Immobile,29,0.879
Dries Mertens,18,0.514
Mauro Icardi,29,0.853
Kevin Lasagna,12,0.462
Iago Falque,12,0.353
Robert Lewandowski,29,1.208
Niclas Fullkrug,14,0.538
Guido Burgstaller,11,0.458
Salomon Kalou,12,0.444
Thorgan Hazard,10,0.303
Jean-Kevin Augustin,9,0.643
Serge Gnabry,10,0.500
Andrej Kramaric,13,0.591
Nils Petersen,15,0.625
Sandro Wagner ,12,0.667
Timo Werner,13,0.464
Leon Bailey,9,0.360
Daniel Didavi,9,0.346
Alfred Finnbogason,12,0.545
Davie Selke,10,0.526
Mark Uth,14,0.583
Michael Gregoritsch,13,0.433
Julian Brandt,9,0.346
Kevin Volland,14,0.467
Pierre-Emerick Aubameyang,13,0.812
Roger ,11,0.579
Arthur Caike,8,0.235
Everton ,8,0.571
Hernanes ,9,0.474
Luiz Fernando,9,0.429
Wellington Paulista,9,0.300
Fred ,12,0.444
Santiago Trellez,10,0.435
Jo,18,0.529
Thiago Neves,9,0.300
Bruno Henrique,8,0.286
Dudu ,10,0.435
Diego ,10,0.417
Diego Souza,11,0.423
Lucca ,13,0.351
Henrique Dourado,19,0.594
Andre,16,0.457
Edigar Junio ,12,0.571
Junior  Dutra,9,0.333
Luiz Fernando,9,0.429
Karim Benzema,21,0.600
Maxi Gomez,13,0.394
Iago Aspas,20,0.769
Jaime Mata,14,0.519
Inaki Williams,12,0.333
Cristhian Stuani,19,0.633
Chimy Avila,10,0.500
Raul de Tomas,14,0.438
Luis Suarez,21,0.677
Roger ,13,0.565
Willian Jose,12,0.429
Pablo Sarabia,13,0.433
Mikel Oyarzabal,13,0.361
Antoine Griezmann,15,0.405
Borja Iglesias,17,0.486
Lionel Messi,36,1.241
Jorge Molina,14,0.500
Charles,14,0.824
Wissam Ben Yedder,18,0.581
Morales ,12,0.343
Arkadiusz Milik,17,0.630
Duvan Zapata,23,0.719
Lorenzo Insigne,10,0.417
Cristiano Ronaldo,21,0.700
Ciro Immobile,15,0.484
Andrea Belotti,15,0.405
Fabio Quagliarella,26,0.703
Mandzukic None,9,0.391
Edin Dzeko,9,0.321
Andrea Petagna,16,0.457
Roberto Inglese,9,0.391
Josip Ilicic,12,0.522
Francesco Caputo,16,0.421
Leonardo Pavoletti,16,0.516
Gregoire Defrel,11,0.423
Dries Mertens,16,0.696
Stephan El Shaarawy,11,0.478
Gervinho ,11,0.407
Mauro Icardi,11,0.458
Krzysztof Piatek,23,0.676
Andrej Kramaric,16,0.571
Alassane Plea,12,0.429
Kai Havertz,16,0.485
Luka Jovic,17,0.680
Ante Rebic,11,0.478
Jadon Sancho,13,0.500
Alfred Finnbogason,10,0.588
Ondrej Duda,11,0.367
Paco Alcacer,18,1.636
Timo Werner,16,0.552
Benito Raman,10,0.526
Kevin Volland,14,0.438
Wout Weghorst,17,0.515
Ishak Belfodil,18,0.900
Marco Reus,17,0.630
Jean-Philippe Mateta,14,0.483
Sebastien Haller,15,0.652
Max Kruse,11,0.344
Robert Lewandowski,22,0.667
Yussuf Poulsen,15,0.556
Angel Di Maria,12,0.429
Remi Oudin,10,0.312
Nicolas Pepe,22,0.595
Emiliano Sala,12,0.750
Jonathan Bamba,13,0.371
M'Baye Niang,11,0.579
Neymar ,15,0.938
Edinson Cavani,18,0.900
Stephane Bahoken,11,0.355
Max Gradel,11,0.306
Florian Thauvin,16,0.533
Kylian Mbappe-Lottin,33,1.375
Wahbi Khazri,13,0.406
Falcao ,15,0.517
